r1,r2,a1,b1,a2,b2,a3,b3,a4,b4,ratio
572,10125,13,15,11,9,4,5,1,15,0.05649382716049383
36,637,15,14,6,7,12,13,1,15,0.0565149136577708
147,2600,14,13,7,8,9,10,1,15,0.05653846153846154
28,495,14,15,10,11,1,15,0,0,0.05656565656565657
99,1750,9,10,9,7,11,15,1,15,0.05657142857142857
55,972,5,6,10,9,11,12,1,15,0.056584362139917695
208,3675,4,5,8,7,13,14,1,15,0.056598639455782314
81,1430,15,13,9,11,9,10,1,15,0.056643356643356645
48,847,15,14,12,11,8,11,1,15,0.05667060212514758
25,441,15,14,10,9,5,7,1,15,0.05668934240362812
2156,38025,14,13,14,15,11,13,1,15,0.05669953977646285
49,864,7,8,5,4,7,9,1,15,0.056712962962962965
896,15795,14,13,8,9,8,9,1,15,0.05672681228236784
78,1375,6,5,13,15,9,11,1,15,0.05672727272727273
143,2520,13,12,11,14,1,15,0,0,0.056746031746031746
378,6655,9,11,14,11,9,11,1,15,0.05679939894815928
48,845,12,13,12,13,1,15,0,0,0.05680473372781065
5,88,5,6,5,4,9,11,1,15,0.056818181818181816
39,686,15,14,6,7,13,14,1,15,0.056851311953352766
91,1600,9,8,13,15,7,8,1,15,0.056875
1331,23400,11,13,11,10,11,12,1,15,0.056880341880341884
64,1125,4,5,8,7,14,15,1,15,0.05688888888888889
169,2970,13,11,7,9,13,14,1,15,0.056902356902356906
484,8505,8,9,11,9,11,14,1,15,0.0569077013521458
77,1352,15,13,11,13,7,8,1,15,0.05695266272189349
448,7865,14,13,12,11,8,11,1,15,0.05696122059758423
20,351,10,9,10,13,1,15,0,0,0.05698005698005698
351,6160,9,8,13,14,9,11,1,15,0.05698051948051948
363,6370,11,13,9,7,11,14,1,15,0.05698587127158556
77,1350,14,15,11,12,1,15,0,0,0.05703703703703704
208,3645,8,9,10,9,13,15,1,15,0.0570644718792867
49,858,14,13,10,11,7,8,1,15,0.05710955710955711
297,5200,9,8,11,13,9,10,1,15,0.057115384615384616
2,35,4,5,1,14,0,0,0,0,0.05714285714285714
605,10584,11,12,11,9,5,7,1,14,0.05716175359032502
2197,38416,13,14,13,14,13,14,1,14,0.057189712619741775
1274,22275,13,11,7,9,14,15,1,15,0.057194163860830524
143,2500,9,10,13,10,11,15,1,15,0.0572
90,1573,9,11,15,11,10,13,1,15,0.05721551176096631
729,12740,9,10,9,7,9,13,1,14,0.05722135007849294
1352,23625,8,7,13,15,13,15,1,15,0.057227513227513224
125,2184,5,6,5,4,10,13,1,14,0.05723443223443223
216,3773,6,7,8,7,9,11,1,14,0.05724887357540419
63,1100,9,8,14,15,9,11,1,15,0.057272727272727274
242,4225,11,13,11,10,12,13,1,15,0.05727810650887574
11,192,11,12,7,8,1,14,0,0,0.057291666666666664
104,1815,13,11,8,11,1,15,0,0,0.05730027548209366
704,12285,11,13,8,7,8,9,1,15,0.05730565730565731
65,1134,5,6,10,9,13,14,1,15,0.05731922398589065
1573,27440,11,10,11,14,13,14,1,14,0.057325072886297374
126,2197,14,13,14,13,9,13,1,14,0.05735093309057806
1859,32400,13,12,11,12,13,15,1,15,0.05737654320987654
243,4235,9,10,12,11,9,11,1,14,0.05737898465171192
45,784,9,8,5,7,1,14,0,0,0.05739795918367347
147,2560,9,8,7,8,7,8,1,15,0.057421875
56,975,14,13,4,5,1,15,0,0,0.057435897435897436
91,1584,13,11,7,9,7,8,1,14,0.05744949494949495
121,2106,11,12,11,9,10,13,1,15,0.05745489078822412
256,4455,8,9,4,3,8,11,1,15,0.0574635241301908
169,2940,13,14,13,14,1,15,0,0,0.05748299319727891
81,1408,9,8,7,8,9,11,1,14,0.05752840909090909
1089,18928,9,8,11,13,11,13,1,14,0.05753381234150465
288,5005,12,13,8,7,9,11,1,15,0.05754245754245754
195,3388,13,12,9,11,10,11,1,14,0.05755608028335301
110,1911,15,14,11,13,8,9,1,14,0.0575614861329147
539,9360,14,13,7,8,11,12,1,15,0.05758547008547008
1568,27225,14,15,14,11,8,11,1,15,0.057594123048668504
36,625,6,5,4,5,9,10,1,15,0.0576
14,243,10,9,7,9,1,15,0,0,0.05761316872427984
121,2100,11,10,11,14,1,15,0,0,0.05761904761904762
750,13013,15,13,10,11,10,13,1,14,0.0576346730192884
3,52,14,13,3,4,1,14,0,0,0.057692307692307696
384,6655,12,11,12,11,8,11,1,15,0.057700976709241174
40,693,8,9,10,11,1,14,0,0,0.05772005772005772
99,1715,8,7,11,14,9,10,1,14,0.05772594752186589
343,5940,7,8,14,11,7,9,1,15,0.057744107744107744
231,4000,11,10,7,8,9,10,1,15,0.05775
13,225,13,15,1,15,0,0,0,0,0.057777777777777775
405,7007,15,14,12,11,9,13,1,14,0.057799343513629226
7,121,9,11,14,11,7,9,1,14,0.05785123966942149
88,1521,12,13,11,9,10,13,1,15,0.057856673241288625
81,1400,9,10,9,10,1,14,0,0,0.05785714285714286
25,432,5,6,5,4,7,9,1,14,0.05787037037037037
363,6272,9,8,11,12,11,14,1,14,0.05787627551020408
156,2695,9,11,8,7,13,15,1,14,0.05788497217068646
715,12348,10,9,11,14,13,14,1,14,0.05790411402656301
847,14625,14,15,11,10,11,13,1,15,0.057914529914529916
1001,17280,13,12,11,12,7,8,1,15,0.05792824074074074
352,6075,8,9,4,3,11,15,1,15,0.05794238683127572
540,9317,10,11,12,11,9,11,1,14,0.05795857035526457
480,8281,12,13,8,7,10,13,1,14,0.05796401400797005
125,2156,15,14,5,6,10,11,1,14,0.05797773654916512
49,845,14,13,14,13,7,10,1,14,0.05798816568047337
224,3861,14,13,10,11,8,9,1,15,0.05801605801605802
351,6050,9,10,13,11,9,11,1,15,0.058016528925619835
132,2275,12,13,6,5,11,15,1,14,0.058021978021978025
13,224,13,12,3,4,1,14,0,0,0.05803571428571429
1331,22932,11,13,11,9,11,14,1,14,0.058041165184022324
128,2205,6,7,8,7,8,9,1,15,0.058049886621315196
196,3375,14,15,14,15,1,15,0,0,0.05807407407407408
847,14580,11,12,11,9,7,9,1,15,0.05809327846364883
108,1859,15,13,9,11,12,13,1,15,0.05809575040344271
275,4732,15,13,5,6,11,13,1,14,0.058114961961115805
2197,37800,13,12,13,14,13,15,1,15,0.05812169312169312
1755,30184,15,14,9,11,13,14,1,14,0.058143387225019875
189,3250,14,13,9,10,9,10,1,15,0.05815384615384615
121,2080,11,13,11,10,7,8,1,14,0.058173076923076925
16,275,6,5,8,11,1,15,0,0,0.05818181818181818
11,189,10,9,11,14,1,15,0,0,0.0582010582010582
1573,27000,11,10,11,12,13,15,1,15,0.05825925925925926
25,429,14,13,10,11,5,6,1,14,0.05827505827505827
297,5096,9,8,11,13,6,7,1,14,0.05828100470957614
20,343,8,7,5,7,1,14,0,0,0.05830903790087463
7,120,7,8,1,15,0,0,0,0,0.058333333333333334
1331,22815,11,13,11,9,11,13,1,15,0.05833881218496603
52,891,8,9,13,11,7,9,1,14,0.058361391694725026
